;Product Name;Price;Store;Rating;Most Popular;has_rating
376;MANZONE - Kemeja Oxford Lengan Pendek Pria Kobe Slim Fit  - Black;159900;Manzone;4.9;0;1
348;MANZONE - Kemeja Oxford Lengan Pendek Pria Kobe Slim Fit - White;159900;Manzone;4.8;1;1
310;MANZONE - Kemeja Oxford Lengan Pendek Pria Rodrick 02 Slim Fit - Brown;179900;Manzone;4.9;0;1
274;OXCON Easy Shirts Kemeja Tangan Pendek Army;189000;Oxcon;4.9;0;1
40;MOC Kemeja Lengan Pendek Pria PEDRIC-BLACK;189900;MOC;4.7;0;1
72;Paulmay Kemeja Pria Reguler Fit White Shirt;199000;PAULMAY;4.7;0;1
373;Basic Long Sleeves Slim Fit Jasper Series;199000;LORIENT;4.8;0;1
117;OXCON Vintage Melange Flannel AUTHENTIC Extra Comfort long Sleeve Shirt;249000;Oxcon;4.8;0;1
300;Houseofcuff kemeja Koko Lengan Panjang Pria Beige;250000;House of Cuff;4.7;0;1
106;Kemeja Batik Pria Premium Slimfit Elegant Modern Lengan Panjang Wibisana Blu;273000;ABIROY;4.8;0;1
129;Platini Kemeja Pria Polos Lengan Pendek Katun Oxford Cream Nude 1069;299000;Platini;4.8;0;1
80;Platini Kemeja Pria Polos Oxford Pendek Maroon 1069;299000;Platini;4.9;0;1
139;Kemeja lengan pendek pria formal slim fit black houseofcuff;299000;House of Cuff;4.5;1;1
79;Platini Kemeja Pria Polos Lengan Pendek Katun Oxford Mauve 1069;299000;Platini;4.8;0;1
243;Paulmay Kemeja Pria Reguler Fit Oxford Baby Green Shirts;299000;PAULMAY;4.8;1;1
273;Platini Kemeja Pria Polos Lengan Pendek Katun Oxford Putih 1069;299000;Platini;4.9;0;1
338;Kemeja lengan pendek pria formal slim fit maroon houseofcuff;299000;House of Cuff;4.5;0;1
388;Kemeja kerja slim fit lengan pendek pria kerja Putih houseofcuff;299000;House of Cuff;4.5;0;1
196;MOC Kemeja Batik Lengan Panjang Pria MUCHOZ - Dark Brown;299900;MOC;4.9;0;1
314;MOC Kemeja Lengan Panjang Pria MOGOYO BESTBUY - MAROON;299900;MOC;4.9;0;1
110;MOC Kemeja Lengan Panjang Pria THECOOL-WHITE;299900;MOC;4.8;0;1
267;LARUSSO Big Size Kemeja Poplin Softwash Liquid Touch Relax Fit Shirt Lengan Pendek - Maroon Dried Tomato;319900;Larusso;0.0;0;0
304;LARUSSO Big Size Kemeja Poplin Softwash Liquid Touch Relax Fit Shirt Lengan Pendek - Navy;319900;Larusso;5.0;0;1
198;Gloaming Kemeja Flanel Veterano Unisex Averin;320000;Gloaming;5.0;1;1
294;OXCON Kemeja Oxford Pria Pendek - Metro Series Black;325000;Oxcon;4.7;0;1
210;Slim Fit Short Sleeve Check Shirt;329900;Executive;5.0;1;1
78;MOC - Kemeja Motif Lengan Pendek Pria Caspian - Dark Navy;329900;MOC;0.0;0;0
193;Johnwin - Slim Fit - Kemeja Casual Active - Lengan Abu - Putih;332600;Johnwin;4.6;0;1
189;Lawell Kemeja Casual Pria Lengan Pendek Regular Fit Warna Green – Cotton Oxford Kecil – KING-MSRC;349000;Lawell;5.0;0;1
230;Schoeller Kemeja Pria Putih Motif Slim Fit Lengan Panjang – DRAKE-MLNS-PT | Katun Premium Formal Office Shirt;349000;Schoeller;5.0;0;1
155;Lawell Kemeja Pria Lengan Panjang Polos Warna Navy – Franco;349000;Lawell;0.0;0;0
366;Double Pocket Long Sleeve Shirt;349900;Executive;5.0;0;1
277;WHITE SLIM FIT LONG-SLEEVE SHIRT FOR MEN;349900;VALINO;4.9;0;1
288;Regular Fit Long Sleeve Oxford Shirt;349900;Executive;0.0;0;0
297;Long Sleeve Garment Dyed Shirt;349900;Executive;5.0;0;1
321;Long Sleeve Washed Poplin Shirt;349900;Executive;5.0;0;1
251;Cuban Viking Blue Casual Shirt;359000;VENGOZ;5.0;1;1
